"YEAR","species","quantity","green_tons_total","total_se_percent","green_tons_per_acre","per_acre_se_percent","total_se_tons","design_plots","area_plots","nonreserved_acres","green_ratio_used","species_plots"
2019,"Douglas-fir","boughs",302699.516795707,13.5728211003005,0.812139299892535,12.4965861597089,41084.8638861553,9732,184,372718.715663385,2.42,160
2019,"Douglas-fir","foliage_only",80277.0451997091,13.9579701233697,0.215382383084326,12.7456823204872,11205.0459848994,9732,184,372718.715663385,2.42,160
2019,"incense-cedar","boughs",19793.3339744508,34.0105684155229,0.0531052859506171,33.4184682758776,6731.82539309355,9732,184,372718.715663385,2.42,64
2019,"incense-cedar","foliage_only",6640.71188756829,34.1835785778666,0.0178169531297852,33.5996711780194,2270.03296621664,9732,184,372718.715663385,2.42,64
2019,"ponderosa pine","boughs",45402.9729004259,40.5593128017647,0.121815650763915,39.5053675739614,18415.1337999842,9732,184,372718.715663385,2.42,50
2019,"ponderosa pine","foliage_only",11058.6923670335,38.4736323234123,0.0296703436191837,37.4989958974542,4254.68064106972,9732,184,372718.715663385,2.42,50
2019,"red fir (Shasta, California and noble)","boughs",42143.9138496146,30.7929084018058,0.113071633053373,30.5217445487694,12977.3367886478,9732,184,372718.715663385,2.42,52
2019,"red fir (Shasta, California and noble)","foliage_only",11147.1532889292,30.9210251956425,0.0299076832487172,30.6548123660059,3446.8140770667,9732,184,372718.715663385,2.42,52
2019,"western white pine","boughs",17677.3388165403,45.899941876878,0.0474280954340519,46.0204168776609,8113.88824217079,9732,184,372718.715663385,2.42,33
2019,"western white pine","foliage_only",3524.54654608689,39.3463924431386,0.00945631758741631,39.3915534990404,1386.78191586443,9732,184,372718.715663385,2.42,33
2019,"white fir","boughs",227166.219522999,15.5702835927157,0.609484337588673,13.7298152563493,35370.4246065821,9732,184,372718.715663385,2.42,143
2019,"white fir","foliage_only",74382.1432386107,15.5664528316579,0.199566429354698,13.651207366462,11578.6612424146,9732,184,372718.715663385,2.42,143
2019,"Combined","boughs",654883.295859738,11.233644131748,1.75704430268316,9.31087981888925,73567.2589351455,9732,184,372718.715663385,2.42,182
2019,"Combined","foliage_only",187030.292527938,11.3567020638002,0.501800110024126,9.28069915819065,21240.4730914519,9732,184,372718.715663385,2.42,182
