"YEAR","species","scenario","quantity","green_tons_total","total_se_percent","total_lower_95","total_upper_95","interval_df","total_se_tons","green_tons_per_acre","per_acre_se_percent","nonreserved_acres","area_se_percent","area_plots","species_plots","positive_mass_plots","tree_records","coverage","allocation","green_ratio_used"
2019,"Douglas-fir","reach","boughs",116800.258966707,18.3454010600501,74523.5936127311,159076.924320684,183,21427.4759466197,0.313373742874221,17.0589001000535,372718.715663385,7.26975892263315,184,160,75,2005,"High Cascades Ranger District proxy","cone",2.42
2019,"Douglas-fir","reach","foliage_only",37607.4109307915,19.133842149976,23410.1249555496,51804.6969060334,183,7195.74264419047,0.100900248231044,17.7910487559449,372718.715663385,7.26975892263315,184,160,75,2005,"High Cascades Ranger District proxy","cone",2.42
2019,"Douglas-fir","rule","boughs",302699.516795707,13.5728211003005,221638.590816571,383760.442774842,183,41084.8638861553,0.812139299892535,12.4965861597089,372718.715663385,7.26975892263315,184,160,99,2005,"High Cascades Ranger District proxy","cone",2.42
2019,"Douglas-fir","rule","foliage_only",80277.0451997091,13.9579701233697,58169.3559618529,102384.734437565,183,11205.0459848994,0.215382383084326,12.7456823204872,372718.715663385,7.26975892263315,184,160,99,2005,"High Cascades Ranger District proxy","cone",2.42
2019,"Incense-cedar","reach","boughs",15611.2134012483,40.2968707069797,3199.32990792496,28023.0968945716,183,6290.8304800917,0.0418847048597025,39.7429471524598,372718.715663385,7.26975892263315,184,64,18,232,"High Cascades Ranger District proxy","cone",2.42
2019,"Incense-cedar","reach","foliage_only",5183.41033668705,41.0185412997644,988.472685190323,9378.34798818378,183,2126.15930969023,0.0139070299366677,40.4767811961417,372718.715663385,7.26975892263315,184,64,18,232,"High Cascades Ranger District proxy","cone",2.42
2019,"Incense-cedar","rule","boughs",19793.3339744508,34.0105684155229,6511.3622632604,33075.3056856413,183,6731.82539309355,0.0531052859506171,33.4184682758776,372718.715663385,7.26975892263315,184,64,22,232,"High Cascades Ranger District proxy","cone",2.42
2019,"Incense-cedar","rule","foliage_only",6640.71188756829,34.1835785778666,2161.90979747075,11119.5139776658,183,2270.03296621664,0.0178169531297852,33.5996711780194,372718.715663385,7.26975892263315,184,64,22,232,"High Cascades Ranger District proxy","cone",2.42
2019,"Ponderosa pine","reach","boughs",26243.2945592601,39.8683068275872,5600.1499452827,46886.4391732375,183,10462.7571965533,0.0704104555429979,39.6066084998139,372718.715663385,7.26975892263315,184,50,14,276,"High Cascades Ranger District proxy","cone",2.42
2019,"Ponderosa pine","reach","foliage_only",7005.15891976476,40.2871420396252,1436.96745966215,12573.3503798674,183,2822.1783241071,0.0187947602987861,40.0196682642896,372718.715663385,7.26975892263315,184,50,14,276,"High Cascades Ranger District proxy","cone",2.42
