"YEAR","species","quantity","component","green_tons_per_year","total_se_percent","green_tons_acre_year","per_acre_se_percent","total_se_tons_per_year","framework_species_plots","area_plots","nonreserved_acres","component_plots","excluded_unlinked"
2019,"incense-cedar","boughs","ingrowth",176.610102147546,54.3379615941554,0.000468074426764119,53.2294066211973,95.9663294763321,56,168,377312.00862325,4,2
2019,"incense-cedar","boughs","mortality",67.6054617625936,73.6536373834181,0.000179176544126636,73.489206634002,49.7938816580061,56,168,377312.00862325,2,2
2019,"incense-cedar","boughs","net_change",-6730.46943161241,93.5814585646928,-0.0178379412205055,92.2788831460346,6298.47146235369,56,168,377312.00862325,23,2
2019,"incense-cedar","boughs","removals",4925.98316215283,91.9135230466477,0.0130554635144716,90.6113040409812,4527.64466901933,56,168,377312.00862325,1,2
2019,"incense-cedar","boughs","survivor_accrual",701.457373530713,31.6823470938941,0.00185909103738897,31.2995406567924,222.238159797714,56,168,377312.00862325,13,2
2019,"incense-cedar","boughs","survivor_loss",-2614.94828337525,70.7359623594418,-0.0069304666260604,69.3852347282109,1849.70883344719,56,168,377312.00862325,10,2
2019,"incense-cedar","foliage_only","ingrowth",58.2649190911598,53.5577575315664,0.000154421056736993,52.4853919329868,31.2053840928067,56,168,377312.00862325,4,2
2019,"incense-cedar","foliage_only","mortality",21.6334555577373,72.2699984398979,5.73357196784546e-05,72.1024123479225,15.6344979940728,56,168,377312.00862325,2,2
2019,"incense-cedar","foliage_only","net_change",-1728.07697554883,93.8414832148112,-0.00457996813261867,92.5377536267275,1621.65306494867,56,168,377312.00862325,23,2
2019,"incense-cedar","foliage_only","removals",1315.10689565427,91.9135230466477,0.00348546260282805,90.6113040409812,1208.76107962524,56,168,377312.00862325,1,2
2019,"incense-cedar","foliage_only","survivor_accrual",236.474540687566,31.2345354631056,0.00062673473221916,30.8344167825546,73.8617242722739,56,168,377312.00862325,13,2
2019,"incense-cedar","foliage_only","survivor_loss",-686.076084115541,64.1912459854865,-0.00181832559906832,62.8222785841267,440.4007868022,56,168,377312.00862325,10,2
2019,"ponderosa pine","boughs","ingrowth",394.495451552419,49.8209456011309,0.00104554173346316,48.6772242708085,196.541364316867,46,168,377312.00862325,8,1
2019,"ponderosa pine","boughs","mortality",0,NA,0,NA,NA,46,168,377312.00862325,0,1
2019,"ponderosa pine","boughs","net_change",-408.676257279303,246.693726873807,-0.00108312549810035,246.756840189283,1008.1786899307,46,168,377312.00862325,18,1
2019,"ponderosa pine","boughs","removals",0,NA,0,NA,NA,46,168,377312.00862325,0,1
2019,"ponderosa pine","boughs","survivor_accrual",1286.91386407957,44.5519769754913,0.00341074186526771,44.4570452432489,573.345568419136,46,168,377312.00862325,7,1
2019,"ponderosa pine","boughs","survivor_loss",-2090.08557291129,43.2541493634138,-0.00553940909683122,43.0179625551803,904.048735530212,46,168,377312.00862325,11,1
2019,"ponderosa pine","foliage_only","ingrowth",110.392338974258,49.0856489538685,0.000292575736926746,47.944933829825,54.186795980869,46,168,377312.00862325,8,1
2019,"ponderosa pine","foliage_only","mortality",0,NA,0,NA,NA,46,168,377312.00862325,0,1
2019,"ponderosa pine","foliage_only","net_change",-122.99488384748,193.87424910536,-0.000325976595063243,193.95085919158,238.455407497311,46,168,377312.00862325,18,1
2019,"ponderosa pine","foliage_only","removals",0,NA,0,NA,NA,46,168,377312.00862325,0,1
2019,"ponderosa pine","foliage_only","survivor_accrual",291.620442407623,44.4136734375648,0.000772889374689395,44.3219123861737,129.519350968103,46,168,377312.00862325,7,1
2019,"ponderosa pine","foliage_only","survivor_loss",-525.007665229362,41.9700338542593,-0.00139144170667938,41.7210751665357,220.345894834219,46,168,377312.00862325,11,1
2019,"red fir (Shasta, California and noble)","boughs","ingrowth",298.616461970795,46.8230279128718,0.000791431110449937,46.5949197249015,139.821269341015,49,168,377312.00862325,8,4
2019,"red fir (Shasta, California and noble)","boughs","mortality",46.2496286609797,73.8644550843694,0.00012257661458944,73.7719907783633,34.162036188977,49,168,377312.00862325,2,4
2019,"red fir (Shasta, California and noble)","boughs","net_change",-2323.41498259578,85.8098759151986,-0.00615780820513384,85.634685612444,1993.71951356057,49,168,377312.00862325,27,4
2019,"red fir (Shasta, California and noble)","boughs","removals",0,NA,0,NA,NA,49,168,377312.00862325,0,4
2019,"red fir (Shasta, California and noble)","boughs","survivor_accrual",1740.11193707131,32.7468817409932,0.00461186470958264,32.448020074903,569.832398193647,49,168,377312.00862325,18,4
2019,"red fir (Shasta, California and noble)","boughs","survivor_loss",-4315.8937529769,48.5946625077583,-0.011438527410577,48.3330949700936,2097.29400345255,49,168,377312.00862325,11,4
2019,"red fir (Shasta, California and noble)","foliage_only","ingrowth",93.610300884708,45.6071378693115,0.000248097857331063,45.3760257120147,42.6929789843661,49,168,377312.00862325,8,4
2019,"red fir (Shasta, California and noble)","foliage_only","mortality",14.6783488086806,74.4354415189066,3.89024162317004e-05,74.3452283828373,10.9258937434266,49,168,377312.00862325,2,4
2019,"red fir (Shasta, California and noble)","foliage_only","net_change",-800.500085459405,88.7821388450384,-0.00212158655744963,88.6212358310788,710.701097327221,49,168,377312.00862325,27,4
2019,"red fir (Shasta, California and noble)","foliage_only","removals",0,NA,0,NA,NA,49,168,377312.00862325,0,4
2019,"red fir (Shasta, California and noble)","foliage_only","survivor_accrual",412.871677100069,33.2606365296712,0.00109424473026069,32.9809715969249,137.323747854212,49,168,377312.00862325,17,4
2019,"red fir (Shasta, California and noble)","foliage_only","survivor_loss",-1292.3037146355,55.7638157013259,-0.00342502672880968,55.5394651017115,720.63786173073,49,168,377312.00862325,11,4
2019,"western white pine","boughs","ingrowth",215.835540655956,68.0416537458121,0.000572034644334552,67.9286931449519,146.858071233527,38,168,377312.00862325,3,1
2019,"western white pine","boughs","mortality",172.119554669443,84.9701902047529,0.000456173009964561,84.8890206604968,146.250312982199,38,168,377312.00862325,2,1
2019,"western white pine","boughs","net_change",-71.9532756313723,350.394214810772,-0.000190699670264718,350.281305176877,252.120115179178,38,168,377312.00862325,12,1
2019,"western white pine","boughs","removals",0,NA,0,NA,NA,38,168,377312.00862325,0,1
2019,"western white pine","boughs","survivor_accrual",369.510039887282,61.7368158443643,0.000979322235821659,61.6863094532487,228.123732851648,38,168,377312.00862325,6,1
2019,"western white pine","boughs","survivor_loss",-485.179301505168,44.7698049747985,-0.00128588354045637,44.563591767942,217.213827061953,38,168,377312.00862325,10,1
2019,"western white pine","foliage_only","ingrowth",95.8715420671319,68.105840741072,0.000254090884668504,67.9957321145971,65.2941197562507,38,168,377312.00862325,3,1
2019,"western white pine","foliage_only","mortality",86.7913923142289,88.5459501158665,0.00023002552352075,88.4758079272449,76.8502629434232,38,168,377312.00862325,2,1
2019,"western white pine","foliage_only","net_change",-83.1752866547374,77.2195352796185,-0.000220441663010489,77.1059036941337,64.2275698222788,38,168,377312.00862325,12,1
2019,"western white pine","foliage_only","removals",0,NA,0,NA,NA,38,168,377312.00862325,0,1
2019,"western white pine","foliage_only","survivor_accrual",55.9082343724693,62.7678941678084,0.000148175072869982,62.669147224992,35.0924213820018,38,168,377312.00862325,5,1
2019,"western white pine","foliage_only","survivor_loss",-148.16367078011,40.2510750236753,-0.000392682097028225,40.0400707494885,59.6374702835332,38,168,377312.00862325,11,1
2019,"white fir","boughs","ingrowth",1189.13987590428,21.3615429050906,0.00315160887734068,20.0755165219387,254.018624792833,132,168,377312.00862325,40,1
2019,"white fir","boughs","mortality",1425.56488168955,39.8315984530021,0.00377821232589762,39.4775709569135,567.825279361596,132,168,377312.00862325,15,1
2019,"white fir","boughs","net_change",2120.37888566285,171.725902752703,0.00561969626516729,172.909017902203,3641.23978318222,132,168,377312.00862325,99,1
2019,"white fir","boughs","removals",205.128677127397,99.9358110229628,0.00054365796062489,98.2264029203217,204.997007127939,132,168,377312.00862325,1,1
2019,"white fir","boughs","survivor_accrual",11598.7947919732,18.2193174182031,0.0307405927372822,17.0974998308993,2113.22123983562,132,168,377312.00862325,63,1
2019,"white fir","boughs","survivor_loss",-9036.86222339771,38.7379600940196,-0.023950635062933,36.8675109016302,3500.69608185133,132,168,377312.00862325,48,1
2019,"white fir","foliage_only","ingrowth",547.215057927928,21.0433492730272,0.00145029854714836,19.7572722035971,115.152375914372,132,168,377312.00862325,40,1
2019,"white fir","foliage_only","mortality",504.97427252548,35.328568986487,0.00133834667591961,34.9442010612571,178.400184233175,132,168,377312.00862325,15,1
2019,"white fir","foliage_only","net_change",615.4893225273,168.941404165445,0.0016312476371296,170.127423572906,1039.816303966,132,168,377312.00862325,99,1
2019,"white fir","foliage_only","removals",68.6848642405512,99.9358110229627,0.000182037313074585,98.2264029203217,68.6407761288157,132,168,377312.00862325,1,1
