"YEAR","species","scenario","quantity","component","green_tons_acre_year","green_tons_per_year","per_acre_se_percent","total_se_percent","total_se_tons_per_year","per_acre_se_tons_year","area_plots","nonreserved_acres","area_se_percent","coverage","allocation","green_ratio_used","component_plots","excluded_unlinked"
2019,"Douglas-fir","reach","boughs","net_change",0.0008431366817366,318.125594929978,446.099332857774,445.365043653984,1416.82019473439,0.00376122711230614,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,77,1
2019,"Douglas-fir","reach","boughs","gross_accrual",0.00513373824779221,1937.02109002048,23.8062614684352,24.1966185456025,468.693604300128,0.00122215115037448,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,32,1
2019,"Douglas-fir","reach","boughs","survivor_loss",-0.0118719079542073,-4479.41343639228,19.0129846820141,20.3049435207398,909.542368319882,0.00225720404079624,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,44,1
2019,"Douglas-fir","reach","boughs","ingrowth_gain",0.0111995427426004,4225.72196787249,21.296877270103,21.929501441151,926.679759843634,0.00238515287270433,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,44,1
2019,"Douglas-fir","reach","boughs","mortality_loss",0.00158581420753277,598.346743947477,70.4922275192385,70.7448871608564,423.299728836301,0.00111787575920641,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,6,1
2019,"Douglas-fir","reach","boughs","removal_loss",0.00203242214691596,766.857282623238,50.9144392856259,52.319125215665,401.213021921098,0.00103479634001914,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,6,1
2019,"Douglas-fir","reach","foliage_only","net_change",1.7190494067358e-05,6.48617984578092,6907.65407068949,6906.88111358597,447.992730761462,0.00118745986321549,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,77,1
2019,"Douglas-fir","reach","foliage_only","gross_accrual",0.0014131392737858,533.194417856522,24.31499281635,24.6995581042198,131.696665046928,0.000343604712906039,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,32,1
2019,"Douglas-fir","reach","foliage_only","survivor_loss",-0.00383931759132809,-1448.62063212658,18.4035542934196,19.7687785296669,286.374604500165,0.000706570897416876,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,44,1
2019,"Douglas-fir","reach","foliage_only","ingrowth_gain",0.00365367700410025,1378.57620927764,21.3761288551532,22.0114791721019,303.445015176701,0.000781014704347571,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,44,1
2019,"Douglas-fir","reach","foliage_only","mortality_loss",0.000557731258145432,210.438701282825,73.3365858605965,73.5815793373179,154.844119940844,0.000409021063001209,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,6,1
2019,"Douglas-fir","reach","foliage_only","removal_loss",0.000652576934345163,246.225113878976,50.5822217670104,51.9388095522429,127.886392967395,0.000330087912130828,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,6,1
2019,"Douglas-fir","rule","boughs","net_change",0.0162479859257525,6130.56020572797,55.9218546230483,55.780179532631,3419.63748911109,0.00908617506857265,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,107,1
2019,"Douglas-fir","rule","boughs","gross_accrual",0.0349615787946025,13191.4235196315,17.0738190344883,17.7092508486583,2336.10228160045,0.00596927669499046,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,66,1
2019,"Douglas-fir","rule","boughs","survivor_loss",-0.0258215872542768,-9742.79495275169,18.6966291366036,19.6744418425976,1916.84052682266,0.00482776640611664,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,61,1
2019,"Douglas-fir","rule","boughs","ingrowth_gain",0.0120730154952961,4555.29372666979,21.3106712760746,21.950101661827,999.891603998848,0.00257284064531209,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,44,1
2019,"Douglas-fir","rule","boughs","mortality_loss",0.00251291035476994,948.151253448409,53.3558871725558,53.6923010297263,509.084225218643,0.00134078561363852,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,7,1
2019,"Douglas-fir","rule","boughs","removal_loss",0.00245211075509935,925.210834373212,48.8441400965593,50.0992417535502,463.523612642675,0.00119771241254353,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,6,1
2019,"Douglas-fir","rule","foliage_only","net_change",0.00400557875611002,1511.35296616649,55.9401836020556,55.706449105835,841.921070907064,0.00224072811049288,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,107,1
2019,"Douglas-fir","rule","foliage_only","gross_accrual",0.007866151578979,2967.99345239952,16.811996869218,17.4652898286169,518.368658555949,0.00132245715718589,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,66,1
2019,"Douglas-fir","rule","foliage_only","survivor_loss",-0.00622037834241635,-2347.02344677368,17.9017766486337,19.0639808413894,447.436100235851,0.00111355823755936,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,61,1
2019,"Douglas-fir","rule","foliage_only","ingrowth_gain",0.00392696344042117,1481.69046349538,21.3418025910638,21.9846748162045,325.744830182172,0.000838084785277933,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,44,1
2019,"Douglas-fir","rule","foliage_only","mortality_loss",0.000801979599069793,302.596533399893,57.2424347483204,57.5622441445089,174.181355328466,0.000459072648692368,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,7,1
2019,"Douglas-fir","rule","foliage_only","removal_loss",0.000765178321804004,288.710969554837,48.3404197475425,49.5865105371029,143.161695340081,0.000369890412577257,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,6,1
2019,"Incense-cedar","reach","boughs","net_change",-0.0113311048797925,-4275.36194211522,92.9710471663279,94.267005658205,4030.25568388249,0.010534646862258,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,17,2
2019,"Incense-cedar","reach","boughs","gross_accrual",0.00119412085192635,450.556137179236,43.7501065544976,43.9980748015781,198.236026259221,0.00052242914510725,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,9,2
2019,"Incense-cedar","reach","boughs","survivor_loss",-0.00631020814280562,-2380.91730919278,76.0947155346073,77.417208155515,1843.23970926846,0.00480173493590956,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,6,2
2019,"Incense-cedar","reach","boughs","ingrowth_gain",0.000468074426764119,176.610102147546,53.2294066211973,54.3379615941554,95.9663294763321,0.000249153239912111,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,4,2
2019,"Incense-cedar","reach","boughs","mortality_loss",0.000179176544126636,67.6054617625936,73.489206634002,73.6536373834181,49.7938816580061,0.000131675420752887,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,2,2
2019,"Incense-cedar","reach","boughs","removal_loss",0.0065039154715507,2454.00541048663,90.6113040409812,91.9135230466477,2255.56282853361,0.00589328262249522,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,1,2
2019,"Incense-cedar","reach","foliage_only","net_change",-0.00291865514041485,-1101.2436335085,93.7104679790301,95.0031379520485,1046.21600833023,0.00273508539077677,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,17,2
2019,"Incense-cedar","reach","foliage_only","gross_accrual",0.000371267238566532,140.083587519546,43.111488065918,43.370299335371,60.7546712269532,0.000160058831247274,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,9,2
2019,"Incense-cedar","reach","foliage_only","survivor_loss",-0.00156213697349367,-589.413039213542,72.5020540097901,73.826392283557,435.142382500225,0.00113258139222928,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,6,2
2019,"Incense-cedar","reach","foliage_only","ingrowth_gain",0.000154421056736993,58.2649190911598,52.4853919329868,53.5577575315664,31.2053840928067,8.10484968554707e-05,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,4,2
2019,"Incense-cedar","reach","foliage_only","mortality_loss",5.73357196784546e-05,21.6334555577373,72.1024123479225,72.2699984398979,15.6344979940728,4.13404370252082e-05,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,2,2
2019,"Incense-cedar","reach","foliage_only","removal_loss",0.00182487074254625,688.545645347927,90.6113040409812,91.9135230466477,632.866560423556,0.00165353917688349,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,1,2
2019,"Incense-cedar","rule","boughs","net_change",-0.0178379412205055,-6730.46943161242,92.2788831460345,93.5814585646928,6298.47146235369,0.0164606529345286,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,23,2
2019,"Incense-cedar","rule","boughs","gross_accrual",0.00185909103738897,701.457373530712,31.2995406567924,31.6823470938941,222.238159797714,0.000581886955094342,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,13,2
2019,"Incense-cedar","rule","boughs","survivor_loss",-0.0069304666260604,-2614.94828337525,69.3852347282108,70.7359623594418,1849.70883344719,0.00480872053625233,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,10,2
2019,"Incense-cedar","rule","boughs","ingrowth_gain",0.000468074426764119,176.610102147546,53.2294066211973,54.3379615941554,95.9663294763321,0.000249153239912111,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,4,2
2019,"Incense-cedar","rule","boughs","mortality_loss",0.000179176544126636,67.6054617625936,73.489206634002,73.6536373834181,49.7938816580061,0.000131675420752887,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,2,2
2019,"Incense-cedar","rule","boughs","removal_loss",0.0130554635144716,4925.98316215283,90.6113040409812,91.9135230466477,4527.64466901933,0.0118297257390572,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,1,2
2019,"Incense-cedar","rule","foliage_only","net_change",-0.00457996813261867,-1728.07697554883,92.5377536267274,93.8414832148112,1621.65306494867,0.0042381996267453,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,23,2
2019,"Incense-cedar","rule","foliage_only","gross_accrual",0.00062673473221916,236.474540687566,30.8344167825546,31.2345354631056,73.8617242722739,0.000193249999453483,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,13,2
2019,"Incense-cedar","rule","foliage_only","survivor_loss",-0.00181832559906832,-686.076084115542,62.8222785841267,64.1912459854865,440.4007868022,0.00114231357341319,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,10,2
2019,"Incense-cedar","rule","foliage_only","ingrowth_gain",0.000154421056736993,58.2649190911598,52.4853919329868,53.5577575315664,31.2053840928067,8.10484968554707e-05,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,4,2
2019,"Incense-cedar","rule","foliage_only","mortality_loss",5.73357196784546e-05,21.6334555577373,72.1024123479225,72.2699984398979,15.6344979940728,4.13404370252082e-05,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,2,2
2019,"Incense-cedar","rule","foliage_only","removal_loss",0.00348546260282805,1315.10689565427,90.6113040409812,91.9135230466477,1208.76107962524,0.00315822311628322,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,1,2
2019,"Ponderosa pine","reach","boughs","net_change",-0.00226247977228331,-853.660787349691,106.636414802718,106.582608320824,909.853933369379,0.00241262731479962,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,16,1
