"YEAR","species","scenario","quantity","net_green_tons_per_year","net_total_se_percent","net_green_tons_acre_year","net_per_acre_se_percent","survivor_green_tons_per_year","survivor_total_se_percent","gross_accrual_green_tons_per_year","gross_accrual_total_se_percent","survivor_loss_green_tons_per_year","survivor_loss_total_se_percent","ingrowth_green_tons_per_year","ingrowth_total_se_percent","mortality_green_tons_per_year","mortality_total_se_percent","removal_green_tons_per_year","removal_total_se_percent","nonreserved_growth_acres","framework_species_plots","area_plots","change_plots","matched_plots","survivor_change_plots","gross_accrual_plots","survivor_loss_plots","ingrowth_mass_plots","mortality_mass_plots","removal_mass_plots","framework_records","matched_survivors","ingrowth_records","mortality_records","removal_records","excluded_unlinked","excluded_plots","area_se_percent","allocation","green_ratio_used","notes"
2019,"Ponderosa pine","rule","boughs",-306.410845191731,414.081793923534,-0.000615183504273799,414.061958977111,-746.996186880414,166.975122686093,2167.67680649069,41.2373640288999,-2914.6729933711,33.6416049353286,440.585341688683,39.8622846210245,0,NA,0,NA,498080.398877792,77,234,29,71,26,14,17,12,0,0,424,319,48,55,1,1,1,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Ponderosa pine","rule","foliage_only",-98.8433320772011,285.067433330874,-0.000198448548266307,285.027383192395,-224.522798427525,122.734018548641,470.874484244888,39.6504613876142,-695.397282672413,33.4207862877232,125.679466350324,39.1024302808715,0,NA,0,NA,498080.398877792,77,234,29,71,26,14,17,12,0,0,424,319,48,55,1,1,1,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Western white pine","reach","boughs",-219.210486403917,86.7756271755047,-0.000440110646590015,86.8992054682716,-256.21816065611,75.7569031838798,129.35438971067,73.2233507587529,-385.572550366781,50.6605210485259,209.127228921635,67.2767618562754,172.119554669443,84.9701902047529,0,NA,498080.398877792,42,234,10,31,10,3,8,3,2,0,115,59,18,29,0,1,1,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Western white pine","reach","foliage_only",-77.3492412278703,84.1585612580129,-0.000155294690178821,84.187394653173,-83.6840959232654,72.3037810822038,39.3566242759965,76.4465481026674,-123.040720199262,47.709210900531,93.126247009624,67.3956251157086,86.7913923142289,88.5459501158665,0,NA,498080.398877792,42,234,10,31,10,3,8,3,2,0,115,59,18,29,0,1,1,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Western white pine","rule","boughs",742.07162357261,100.475295823844,0.00148986313302942,100.264985076622,698.355637586096,106.588798260376,1183.53493909126,62.3412176592978,-485.179301505168,44.7698049747985,215.835540655956,68.0416537458121,172.119554669443,84.9701902047529,0,NA,498080.398877792,42,234,15,31,15,9,10,3,2,0,115,59,18,29,0,1,1,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Western white pine","rule","foliage_only",36.091324342587,307.186271016907,7.24608405066795e-05,307.006243981014,27.0111745896839,391.244136902051,175.174845369794,55.3363484746963,-148.16367078011,40.2510750236753,95.8715420671319,68.105840741072,86.7913923142289,88.5459501158665,0,NA,498080.398877792,42,234,15,31,15,8,11,3,2,0,115,59,18,29,0,1,1,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"White fir","reach","boughs",-560.691162475151,202.320181845649,-0.00112570413077573,202.305282970846,-1080.7202407606,95.6089646117636,2353.04014766166,23.9330245846294,-3433.76038842226,26.2858967827526,1183.80973400449,18.8503968422699,650.747102588637,33.9287398328813,13.0335531303961,101.373369343028,498080.398877792,162,234,95,146,73,43,48,47,14,1,1839,1401,185,169,7,3,3,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"White fir","reach","foliage_only",-260.999655928504,161.551446134114,-0.000524011096434539,161.50888464565,-511.368050684038,72.5241353023939,824.61806396312,23.1079417130018,-1335.98611464716,24.9824811007748,551.103862882235,18.6193532738538,294.132277379176,33.9903543741854,6.60319074752555,101.373369343028,498080.398877792,162,234,95,146,73,42,49,47,14,1,1839,1401,185,169,7,3,3,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"White fir","rule","boughs",2732.20826802511,107.921369180877,0.00548547638931577,107.846511090254,3141.42622068571,90.5838667537954,12739.3511978774,16.5562669196864,-9597.92497719166,22.2009273048723,1268.77966417013,18.8646872501543,1664.96406370034,35.0378768639303,13.0335531303961,101.373369343028,498080.398877792,162,234,115,146,99,74,59,47,19,1,1839,1401,185,169,7,3,3,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"White fir","rule","foliage_only",676.511154511628,126.830488912511,0.00135823685500544,126.768609029543,690.143501466322,118.176382480526,3686.14581425931,16.0173880507064,-2996.00231279299,21.115709114021,587.468629806259,18.5645321037752,594.497786013428,31.0763733554554,6.60319074752555,101.373369343028,498080.398877792,162,234,115,146,99,73,60,47,19,1,1839,1401,185,169,7,3,3,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"red fir (Shasta, California and noble)","reach","boughs",-520.013280006318,136.257702359874,-0.00104403482084006,136.095869722694,-1029.4643592771,70.5896886917283,1195.46218187606,41.1185259395544,-2224.92654115316,41.4779699282681,555.700707931763,52.2126451577066,46.2496286609797,73.8644550843694,0,NA,498080.398877792,56,234,26,53,22,17,12,10,2,0,745,588,73,76,0,5,4,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"red fir (Shasta, California and noble)","reach","foliage_only",-181.093261173435,104.487357004744,-0.00036358238866948,104.277215460837,-337.716561170967,60.7058925564958,298.93707029029,39.740193937647,-636.653631461257,40.9151236834001,171.301648806213,50.982633470903,14.6783488086806,74.4354415189066,0,NA,498080.398877792,56,234,26,53,22,17,12,10,2,0,745,588,73,76,0,5,4,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"red fir (Shasta, California and noble)","rule","boughs",-2541.36807353548,81.4178536156208,-0.00510232500468067,81.228760148727,-3050.81915280626,67.7881034798619,2220.17147611945,28.6823098966914,-5270.99062892571,41.9018617240435,555.700707931763,52.2126451577066,46.2496286609797,73.8644550843694,0,NA,498080.398877792,56,234,31,53,27,22,14,10,2,0,745,588,73,76,0,5,4,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"red fir (Shasta, California and noble)","rule","foliage_only",-891.563159520571,81.436435555126,-0.00178999848524319,81.2523968847342,-1048.1864595181,69.5287424072258,519.781247035291,29.1547899344928,-1567.96770655339,47.6345291900691,171.301648806213,50.982633470903,14.6783488086806,74.4354415189066,0,NA,498080.398877792,56,234,31,53,27,21,14,10,2,0,745,588,73,76,0,5,4,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
