"YEAR","species","scenario","quantity","component","green_tons_acre_year","green_tons_per_year","per_acre_se_percent","total_se_percent","total_se_tons_per_year","per_acre_se_tons_year"
2019,"Douglas-fir","reach","boughs","net_change",0.00303627485377127,1512.308990269,106.5607247531,106.660466873452,1613.0358295901,0.00323547648967479
2019,"Douglas-fir","reach","boughs","survivor_change",-0.00548418858555066,-2731.56683821211,39.1289322956071,39.3774934880629,1075.62255383906,0.00214590443860353
2019,"Douglas-fir","reach","boughs","gross_accrual",0.00618144712241008,3078.85764837199,21.142652563733,21.6230065315793,665.741590405504,0.00130692188850204
2019,"Douglas-fir","reach","boughs","survivor_loss",-0.0116656357079607,-5810.4244865841,17.3427345822702,17.9117097767782,1040.7463708358,0.00202314023816617
2019,"Douglas-fir","reach","boughs","ingrowth_gain",0.0109264044395382,5442.22788154527,19.4602560381288,20.0111953484064,1089.05485268146,0.00212630627969561
2019,"Douglas-fir","reach","boughs","mortality_loss",0.00145400702765529,724.212400305661,59.5568043122298,59.7998050308685,433.077603392158,0.000865960120146732
2019,"Douglas-fir","reach","boughs","removal_loss",0.00095193397256099,474.139652758499,57.6960658325479,57.9127691687847,274.587402639706,0.000549228451491178
2019,"Douglas-fir","reach","foliage_only","net_change",0.000754763084476746,375.93269817441,134.027820866431,134.103290300549,504.138117567517,0.00101159251482844
2019,"Douglas-fir","reach","foliage_only","survivor_change",-0.00199954247287715,-995.932912463735,32.308866631473,32.6147701980326,324.82123072662,0.000646029510801535
2019,"Douglas-fir","reach","foliage_only","gross_accrual",0.00172009399987735,856.745105566205,21.2860530825978,21.762819744724,186.451892996118,0.000366140121884472
2019,"Douglas-fir","reach","foliage_only","survivor_loss",-0.00371963647275449,-1852.67801802994,16.9168408252554,17.502767915646,324.269933719971,0.000629244981374022
2019,"Douglas-fir","reach","foliage_only","ingrowth_gain",0.00356502287626734,1775.66801621969,19.4924146350625,20.0411070294695,355.863527618645,0.000694909040876861
2019,"Douglas-fir","reach","foliage_only","mortality_loss",0.000495483042771846,246.790391580983,63.4231092201043,63.6516774816572,157.086224104846,0.000314250751384284
2019,"Douglas-fir","reach","foliage_only","removal_loss",0.000315234276141599,157.01201400056,58.1772282603303,58.3937158703634,91.6851493378219,0.000183394564385698
2019,"Douglas-fir","rule","boughs","net_change",0.012179340999517,6066.29102310808,63.778212677848,63.9078085685466,3876.83365425884,0.00776776600543231
2019,"Douglas-fir","rule","boughs","survivor_change",0.00418310536397455,2083.52278823627,162.013930891475,162.049368706433,3376.33552519155,0.00677721343350731
2019,"Douglas-fir","rule","boughs","gross_accrual",0.03535663008723,17610.444416822,13.9464506038437,14.6686227019766,2583.20964764493,0.00493099495029928
2019,"Douglas-fir","rule","boughs","survivor_loss",-0.0311735247232555,-15526.9216285858,14.685522868252,15.4130320011603,2393.16939940901,0.00457799510207388
2019,"Douglas-fir","rule","boughs","ingrowth_gain",0.0116795514637354,5817.35565177104,19.3605117517252,19.9226929827163,1158.97390621504,0.0022612209336853
2019,"Douglas-fir","rule","boughs","mortality_loss",0.00241345416342252,1202.09421239076,44.7338720473525,45.0715783647942,541.802834956355,0.00107963149738693
2019,"Douglas-fir","rule","boughs","removal_loss",0.00126986166477043,632.493204508473,56.630611281875,56.8474036986064,359.555965333184,0.00071913042319369
